id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,description,tags,contexts,instruments,instrumental,explicit,era
33,Late Bus Home,Study Hall FM,lofi,relaxed,0.30,70,0.42,0.57,0.84,Late Bus Home by Study Hall FM is a relaxed lofi track with dust-softened beats and an intimate loop that stays out of the listener's way. Electric piano and muted drums shape a sound designed for gentle unwinding.,lofi|relaxed|dusty beats|vinyl texture|soft focus,gentle unwinding|deep study|quiet reading,electric piano|muted drums|vinyl crackle|warm bass,true,false,2020s
34,Dust on the Keys,Small Hours Club,lofi,nostalgic,0.42,82,0.46,0.61,0.88,Dust on the Keys by Small Hours Club is a nostalgic lofi track with dust-softened beats and an intimate loop that stays out of the listener's way. Electric piano and muted drums shape a sound designed for deep study.,lofi|nostalgic|dusty beats|vinyl texture|soft focus,deep study|quiet reading|late-night coding,electric piano|muted drums|vinyl crackle|warm bass,true,false,2010s
35,Half-Finished Letter,Juniper Tape,lofi,focused,0.38,78,0.50,0.65,0.70,Half-Finished Letter by Juniper Tape is a focused lofi track with dust-softened beats and an intimate loop that stays out of the listener's way. Electric piano and muted drums shape a sound designed for quiet reading.,lofi|focused|dusty beats|vinyl texture|soft focus,quiet reading|late-night coding|gentle unwinding,electric piano|muted drums|vinyl crackle|warm bass,true,false,2020s
36,Redline Morning,Signal Quarry,rock,aggressive,0.76,130,0.58,0.52,0.13,Redline Morning by Signal Quarry is an aggressive rock track with cranked guitar riffs and a live-room rhythm section built for release. Distorted guitar and bass guitar shape a sound designed for road trips.,rock|aggressive|guitar riffs|live drums|anthemic chorus,road trips|game-day energy|confidence boosts,distorted guitar|bass guitar|acoustic drums|lead vocals,false,false,2000s
37,Static Horizon,The Breakers Union,rock,intense,0.80,134,0.62,0.64,0.00,Static Horizon by The Breakers Union is an intense rock track with cranked guitar riffs and a live-room rhythm section built for release. Distorted guitar and bass guitar shape a sound designed for game-day energy.,rock|intense|guitar riffs|live drums|anthemic chorus,game-day energy|confidence boosts|hard workouts,distorted guitar|bass guitar|acoustic drums|lead vocals,false,false,2020s
38,Run Through Thunder,Copper Riot,rock,moody,0.84,138,0.66,0.60,0.03,Run Through Thunder by Copper Riot is a moody rock track with cranked guitar riffs and a live-room rhythm section built for release. Distorted guitar and bass guitar shape a sound designed for confidence boosts.,rock|moody|guitar riffs|live drums|anthemic chorus,confidence boosts|hard workouts|road trips,distorted guitar|bass guitar|acoustic drums|lead vocals,false,false,1990s
39,Last Match Burning,Exit Voltage,rock,euphoric,0.88,142,0.48,0.46,0.07,Last Match Burning by Exit Voltage is an euphoric rock track with cranked guitar riffs and a live-room rhythm section built for release. Distorted guitar and bass guitar shape a sound designed for hard workouts.,rock|euphoric|guitar riffs|live drums|anthemic chorus,hard workouts|road trips|game-day energy,distorted guitar|bass guitar|acoustic drums|lead vocals,false,false,2000s
40,Signal Fire Motel,Granite Youth,rock,aggressive,0.92,146,0.60,0.50,0.11,Signal Fire Motel by Granite Youth is an aggressive rock track with cranked guitar riffs and a live-room rhythm section built for release. Distorted guitar and bass guitar shape a sound designed for road trips.,rock|aggressive|guitar riffs|live drums|anthemic chorus,road trips|game-day energy|confidence boosts,distorted guitar|bass guitar|acoustic drums|lead vocals,false,false,2020s
41,Unbroken Engine,Signal Quarry,rock,intense,0.96,150,0.56,0.54,0.15,Unbroken Engine by Signal Quarry is an intense rock track with cranked guitar riffs and a live-room rhythm section built for release. Distorted guitar and bass guitar shape a sound designed for game-day energy.,rock|intense|guitar riffs|live drums|anthemic chorus,game-day energy|confidence boosts|hard workouts,distorted guitar|bass guitar|acoustic drums|lead vocals,false,false,1990s
42,Blacktop Anthem,The Breakers Union,rock,energetic,0.78,132,0.42,0.58,0.19,Blacktop Anthem by The Breakers Union is an energetic rock track with cranked guitar riffs and a live-room rhythm section built for release. Distorted guitar and bass guitar shape a sound designed for confidence boosts.,rock|energetic|guitar riffs|live drums|anthemic chorus,confidence boosts|hard workouts|road trips,distorted guitar|bass guitar|acoustic drums|lead vocals,false,true,2000s
43,Fever Pitch,Copper Riot,rock,aggressive,0.90,144,0.46,0.62,0.23,Fever Pitch by Copper Riot is an aggressive rock track with cranked guitar riffs and a live-room rhythm section built for release. Distorted guitar and bass guitar shape a sound designed for hard workouts.,rock|aggressive|guitar riffs|live drums|anthemic chorus,hard workouts|road trips|game-day energy,distorted guitar|bass guitar|acoustic drums|lead vocals,false,false,2020s
44,Northbound Noise,Exit Voltage,rock,energetic,0.86,140,0.50,0.66,0.05,Northbound Noise by Exit Voltage is an energetic rock track with cranked guitar riffs and a live-room rhythm section built for release. Distorted guitar and bass guitar shape a sound designed for road trips.,rock|energetic|guitar riffs|live drums|anthemic chorus,road trips|game-day energy|confidence boosts,distorted guitar|bass guitar|acoustic drums|lead vocals,false,false,1990s
45,Tidal Glass,Still Meridian,ambient,relaxed,0.14,54,0.61,0.18,0.85,Tidal Glass by Still Meridian is a relaxed ambient track with slow-evolving harmonies and open space that encourage patient listening. Synth pads and field recordings shape a sound designed for sleep preparation.,ambient|relaxed|slow evolving|spacious texture|meditative,sleep preparation|quiet reflection|stress relief,synth pads|field recordings|processed piano|soft drones,true,false,2010s
46,Moonlit Current,Quiet Geometry,ambient,focused,0.18,58,0.65,0.30,0.71,Moonlit Current by Quiet Geometry is a focused ambient track with slow-evolving harmonies and open space that encourage patient listening. Synth pads and field recordings shape a sound designed for quiet reflection.,ambient|focused|slow evolving|spacious texture|meditative,quiet reflection|stress relief|meditation,synth pads|field recordings|processed piano|soft drones,true,false,2020s
47,No Horizon,Pale Current,ambient,chill,0.22,62,0.69,0.26,0.75,No Horizon by Pale Current is a chill ambient track with slow-evolving harmonies and open space that encourage patient listening. Synth pads and field recordings shape a sound designed for stress relief.,ambient|chill|slow evolving|spacious texture|meditative,stress relief|meditation|sleep preparation,synth pads|field recordings|processed piano|soft drones,true,false,2000s
48,Slow Orbit,Longform Light,ambient,relaxed,0.26,66,0.51,0.12,0.79,Slow Orbit by Longform Light is a relaxed ambient track with slow-evolving harmonies and open space that encourage patient listening. Synth pads and field recordings shape a sound designed for meditation.,ambient|relaxed|slow evolving|spacious texture|meditative,meditation|sleep preparation|quiet reflection,synth pads|field recordings|processed piano|soft drones,true,false,2010s
49,Frosted Air,Aerial Archive,ambient,relaxed,0.30,70,0.63,0.16,0.83,Frosted Air by Aerial Archive is a relaxed ambient track with slow-evolving harmonies and open space that encourage patient listening. Synth pads and field recordings shape a sound designed for sleep preparation.,ambient|relaxed|slow evolving|spacious texture|meditative,sleep preparation|quiet reflection|stress relief,synth pads|field recordings|processed piano|soft drones,true,false,2020s
50,Weightless Field,Still Meridian,ambient,focused,0.34,74,0.59,0.20,0.87,Weightless Field by Still Meridian is a focused ambient track with slow-evolving harmonies and open space that encourage patient listening. Synth pads and field recordings shape a sound designed for quiet reflection.,ambient|focused|slow evolving|spacious texture|meditative,quiet reflection|stress relief|meditation,synth pads|field recordings|processed piano|soft drones,true,false,2000s
51,Distant Weather,Quiet Geometry,ambient,chill,0.16,56,0.45,0.24,0.91,Distant Weather by Quiet Geometry is a chill ambient track with slow-evolving harmonies and open space that encourage patient listening. Synth pads and field recordings shape a sound designed for stress relief.,ambient|chill|slow evolving|spacious texture|meditative,stress relief|meditation|sleep preparation,synth pads|field recordings|processed piano|soft drones,true,false,2010s
52,Luminous Quiet,Pale Current,ambient,chill,0.28,68,0.49,0.28,0.95,Luminous Quiet by Pale Current is a chill ambient track with slow-evolving harmonies and open space that encourage patient listening. Synth pads and field recordings shape a sound designed for meditation.,ambient|chill|slow evolving|spacious texture|meditative,meditation|sleep preparation|quiet reflection,synth pads|field recordings|processed piano|soft drones,true,false,2020s
53,Drift Map,Longform Light,ambient,relaxed,0.24,64,0.53,0.32,0.77,Drift Map by Longform Light is a relaxed ambient track with slow-evolving harmonies and open space that encourage patient listening. Synth pads and field recordings shape a sound designed for sleep preparation.,ambient|relaxed|slow evolving|spacious texture|meditative,sleep preparation|quiet reflection|stress relief,synth pads|field recordings|processed piano|soft drones,true,false,2000s
54,Sunday Brass,Marlowe Keys,jazz,relaxed,0.40,98,0.67,0.49,0.74,Sunday Brass by Marlowe Keys is a relaxed jazz track with conversational improvisation and an acoustic pocket with room to breathe. Upright bass and piano shape a sound designed for coffeehouse work.,jazz|relaxed|improvisation|swing feel|acoustic ensemble,coffeehouse work|evening conversation|focused listening,upright bass|piano|brushed drums|tenor saxophone,true,false,1960s
55,Velvet Platform,East Ferry Trio,jazz,playful,0.44,102,0.71,0.61,0.60,Velvet Platform by East Ferry Trio is a playful jazz track with conversational improvisation and an acoustic pocket with room to breathe. Upright bass and piano shape a sound designed for evening conversation.,jazz|playful|improvisation|swing feel|acoustic ensemble,evening conversation|focused listening|dinner ambience,upright bass|piano|brushed drums|tenor saxophone,true,false,2020s
56,Lantern District,Cedar Street Five,jazz,moody,0.48,106,0.75,0.57,0.64,Lantern District by Cedar Street Five is a moody jazz track with conversational improvisation and an acoustic pocket with room to breathe. Upright bass and piano shape a sound designed for focused listening.,jazz|moody|improvisation|swing feel|acoustic ensemble,focused listening|dinner ambience|coffeehouse work,upright bass|piano|brushed drums|tenor saxophone,false,false,1950s
57,Second Cup Swing,Nia Bell Ensemble,jazz,romantic,0.52,110,0.57,0.43,0.68,Second Cup Swing by Nia Bell Ensemble is a romantic jazz track with conversational improvisation and an acoustic pocket with room to breathe. Upright bass and piano shape a sound designed for dinner ambience.,jazz|romantic|improvisation|swing feel|acoustic ensemble,dinner ambience|coffeehouse work|evening conversation,upright bass|piano|brushed drums|tenor saxophone,true,false,1960s
58,Rain on Seventh,The Rowan Quartet,jazz,focused,0.56,114,0.69,0.47,0.72,Rain on Seventh by The Rowan Quartet is a focused jazz track with conversational improvisation and an acoustic pocket with room to breathe. Upright bass and piano shape a sound designed for coffeehouse work.,jazz|focused|improvisation|swing feel|acoustic ensemble,coffeehouse work|evening conversation|focused listening,upright bass|piano|brushed drums|tenor saxophone,true,false,2020s
59,Pocket Watch Waltz,Marlowe Keys,jazz,energetic,0.60,118,0.65,0.51,0.76,Pocket Watch Waltz by Marlowe Keys is an energetic jazz track with conversational improvisation and an acoustic pocket with room to breathe. Upright bass and piano shape a sound designed for evening conversation.,jazz|energetic|improvisation|swing feel|acoustic ensemble,evening conversation|focused listening|dinner ambience,upright bass|piano|brushed drums|tenor saxophone,true,false,1950s
60,After Midnight Set,East Ferry Trio,jazz,romantic,0.42,100,0.51,0.55,0.80,After Midnight Set by East Ferry Trio is a romantic jazz track with conversational improvisation and an acoustic pocket with room to breathe. Upright bass and piano shape a sound designed for focused listening.,jazz|romantic|improvisation|swing feel|acoustic ensemble,focused listening|dinner ambience|coffeehouse work,upright bass|piano|brushed drums|tenor saxophone,false,false,1960s
61,Corner Booth,Cedar Street Five,jazz,playful,0.54,112,0.55,0.59,0.84,Corner Booth by Cedar Street Five is a playful jazz track with conversational improvisation and an acoustic pocket with room to breathe. Upright bass and piano shape a sound designed for dinner ambience.,jazz|playful|improvisation|swing feel|acoustic ensemble,dinner ambience|coffeehouse work|evening conversation,upright bass|piano|brushed drums|tenor saxophone,true,false,2020s
62,Marmalade Moon,Nia Bell Ensemble,jazz,relaxed,0.50,108,0.59,0.63,0.66,Marmalade Moon by Nia Bell Ensemble is a relaxed jazz track with conversational improvisation and an acoustic pocket with room to breathe. Upright bass and piano shape a sound designed for coffeehouse work.,jazz|relaxed|improvisation|swing feel|acoustic ensemble,coffeehouse work|evening conversation|focused listening,upright bass|piano|brushed drums|tenor saxophone,false,false,1950s
63,Laser Exit,Glass Circuit,synthwave,moody,0.64,104,0.55,0.64,0.15,Laser Exit by Glass Circuit is a moody synthwave track with retro-futurist synthesizers and a cinematic pulse beneath glowing melodies. Analog synthesizer and drum machine shape a sound designed for retro gaming.,synthwave|moody|retro synths|night drive|cinematic pulse,retro gaming|creative sprints|cinematic workouts,analog synthesizer|drum machine|sequenced bass|electric guitar,true,false,2010s
64,Memory Highway,Magenta Driver,synthwave,moody,0.68,108,0.59,0.76,0.01,Memory Highway by Magenta Driver is a moody synthwave track with retro-futurist synthesizers and a cinematic pulse beneath glowing melodies. Analog synthesizer and drum machine shape a sound designed for creative sprints.,synthwave|moody|retro synths|night drive|cinematic pulse,creative sprints|cinematic workouts|night driving,analog synthesizer|drum machine|sequenced bass|electric guitar,false,false,2020s
65,Arcade Ghost,Future Polaroid,synthwave,intense,0.72,112,0.63,0.72,0.05,Arcade Ghost by Future Polaroid is an intense synthwave track with retro-futurist synthesizers and a cinematic pulse beneath glowing melodies. Analog synthesizer and drum machine shape a sound designed for cinematic workouts.,synthwave|intense|retro synths|night drive|cinematic pulse,cinematic workouts|night driving|retro gaming,analog synthesizer|drum machine|sequenced bass|electric guitar,true,false,1980s
66,Midnight Overpass,Static Vista,synthwave,moody,0.76,116,0.45,0.58,0.09,Midnight Overpass by Static Vista is a moody synthwave track with retro-futurist synthesizers and a cinematic pulse beneath glowing melodies. Analog synthesizer and drum machine shape a sound designed for night driving.,synthwave|moody|retro synths|night drive|cinematic pulse,night driving|retro gaming|creative sprints,analog synthesizer|drum machine|sequenced bass|electric guitar,false,false,2010s
67,Electric Mirage,Night Vector,synthwave,moody,0.80,120,0.57,0.62,0.13,Electric Mirage by Night Vector is a moody synthwave track with retro-futurist synthesizers and a cinematic pulse beneath glowing melodies. Analog synthesizer and drum machine shape a sound designed for retro gaming.,synthwave|moody|retro synths|night drive|cinematic pulse,retro gaming|creative sprints|cinematic workouts,analog synthesizer|drum machine|sequenced bass|electric guitar,false,false,2020s
68,Signal 1986,Glass Circuit,synthwave,intense,0.84,124,0.53,0.66,0.17,Signal 1986 by Glass Circuit is an intense synthwave track with retro-futurist synthesizers and a cinematic pulse beneath glowing melodies. Analog synthesizer and drum machine shape a sound designed for creative sprints.,synthwave|intense|retro synths|night drive|cinematic pulse,creative sprints|cinematic workouts|night driving,analog synthesizer|drum machine|sequenced bass|electric guitar,true,false,1980s
69,Violet Pursuit,Magenta Driver,synthwave,intense,0.66,106,0.39,0.70,0.21,Violet Pursuit by Magenta Driver is an intense synthwave track with retro-futurist synthesizers and a cinematic pulse beneath glowing melodies. Analog synthesizer and drum machine shape a sound designed for cinematic workouts.,synthwave|intense|retro synths|night drive|cinematic pulse,cinematic workouts|night driving|retro gaming,analog synthesizer|drum machine|sequenced bass|electric guitar,false,false,2010s
70,Digital Raincoat,Future Polaroid,synthwave,chill,0.78,118,0.43,0.74,0.25,Digital Raincoat by Future Polaroid is a chill synthwave track with retro-futurist synthesizers and a cinematic pulse beneath glowing melodies. Analog synthesizer and drum machine shape a sound designed for night driving.,synthwave|chill|retro synths|night drive|cinematic pulse,night driving|retro gaming|creative sprints,analog synthesizer|drum machine|sequenced bass|electric guitar,true,false,2020s
71,Retrograde City,Static Vista,synthwave,energetic,0.74,114,0.47,0.78,0.07,Retrograde City by Static Vista is an energetic synthwave track with retro-futurist synthesizers and a cinematic pulse beneath glowing melodies. Analog synthesizer and drum machine shape a sound designed for retro gaming.,synthwave|energetic|retro synths|night drive|cinematic pulse,retro gaming|creative sprints|cinematic workouts,analog synthesizer|drum machine|sequenced bass|electric guitar,false,false,1980s
